Stellar Development Foundation,"San Francisco, CA",-,US West,Ecosystem fund,Enterprise Fund,Equity + grants,"Payments, anchors, MoneyGram web",Denelle Dixon,MoneyGram partnership era,Payments thesis adjacency,Monitor,K
Polygon Ventures,Global / remote,People (verify),Global,Ecosystem fund,n/a,Equity + tokens,Polygon ecosystem,-,Coinme buy (Polygon Labs corp dev),Ecosystem door,Monitor,K
Aptos (ecosystem investing),"Palo Alto, CA",-,US West,Ecosystem fund,n/a,Equity + tokens,Aptos ecosystem,Avery Ching,-,-,Monitor,K
CME Ventures,"Chicago, IL",Office,US Other,Exchange CVC,n/a,Equity,Market infrastructure,-,Digital-asset infra bets,TradFi market-structure door,S3,K
Nasdaq Ventures,"New York, NY",HQ,NYC,Exchange CVC,n/a,Equity,"Market tech, digital assets",-,"Gemini placement ($50M, 2025 IPO)",NYC TradFi door,S3,K
ICE / NYSE strategic,Atlanta / NYC,HQ (NYSE),US Other,Exchange strategic,n/a,Strategic stakes,Market infra; prediction markets,-,"Bakkt; Polymarket stake (2025, verify)",-,S3,K,Polymarket bet signals conviction
Visa Ventures,"San Francisco, CA",Office (verify),US West,Payments CVC,n/a,Equity,"Stablecoin settlement, payments infra",Cuy Sheffield (crypto lead),Stablecoin infra bets,Visa crypto team hires; MBA-friendly parent,S2,K,On Corp Dev working tab as Visa
PayPal Ventures,"San Jose, CA",Office (Venmo NYC),US West,Payments CVC,n/a,Equity,"Fintech, stablecoin ecosystem (PYUSD)",-,Stablecoin/payments bets,MBA-friendly parent,S2,K,On Corp Dev working tab as PayPal
Amex Ventures,"New York, NY",HQ,NYC,Payments CVC,n/a,Equity,Fintech; selective crypto,-,-,NYC; MBA-friendly parent,S3,K
Citi Ventures,"New York, NY",HQ,NYC,Bank CVC,n/a,Equity,Fintech; tokenization-curious,-,-,Bank platform door,S3,K
SC Ventures (Standard Chartered),Singapore / London,-,Europe,Bank venture builder,n/a,Build + invest,Digital assets ventures,-,Built Zodia Custody & Zodia Markets,Venture-building model worth studying,S3,K,Zodia web connects to Deal Evidence
Goldman Sachs (strategic/growth),"New York, NY",HQ,NYC,Bank strategic investor,n/a,Growth equity,"Market infra, digital assets",-,"Coin Metrics, Anchorage (verify rounds)",GS platform door; TradFi lane,S3,K
Laser Digital (Nomura),London / Dubai,Verify,Europe,Bank-owned digital assets,n/a,Venture + trading,Digital asset infra,Jez Mohideen,Infra bets,TradFi-crypto bridge employer,S3,K
Samsung Next,"San Francisco, CA",Office (verify),US West,CVC,n/a,Seed equity,Frontier tech incl. web3,-,Web3 seed bets,-,Monitor,K
Franklin Templeton (digital assets),"San Mateo, CA",Office,US West,Asset-manager strategic,n/a,Fund investments + strategic,"Tokenization (BENJI), funds",Roger Bayston (verify),On-chain money fund pioneer,Asset-mgmt door; tokenization thesis,S3,K
Alliance DAO,Remote / NYC events,Events/cohorts in NYC,Global,Crypto accelerator,n/a,Pre-seed accelerator,Top crypto accelerator,"Qiao Wang, Imran Khan",Strong founder network,Their demo days = deal flow map,S3,K,Watching their cohorts = seeing next year's deals
Colosseum,Remote / global,-,Global,Solana accelerator + fund,n/a,Hackathon-to-fund,Solana ecosystem,Matty Taylor,Solana startup pipeline,Pairs with 6MV Solana weighting,Monitor,K
Orange DAO,Remote,-,Global,YC-alumni crypto fund,n/a,Pre-seed,YC-network crypto founders,-,-,-,Monitor,K
a16z Crypto Startup School (CSX),NYC + SF,Cohorts in NYC,NYC,Accelerator,Cohort-based,Accelerator + checks,Crypto startups,-,Cohort network,NYC cohorts; recruiting surface,S3,K,Also an a16z relationship surface
Maelstrom,Hong Kong,-,Asia,Family office (Arthur Hayes),n/a,Liquid + seed,"DeFi, infra",Arthur Hayes,-,Essays widely read; not a hiring door,Exclude,K,Context/reading only
Nascent,Remote / US,People (verify),Global,Liquid + venture hybrid,n/a,Liquid-first,DeFi,Dan Elitzer,-,Not a hiring door,Exclude,K,Context only
QED Investors,"Alexandria, VA",Verify,US Other,Fintech specialist VC,Multi-$B,Seed to growth equity,Global fintech; stablecoin-curious,Nigel Morris,LatAm fintech depth (Nubank etc.),MBA-friendly; LatAm overlap,S2,K,Brazil fintech web overlaps your background
Bain Capital Ventures (fintech),Boston + NYC + SF,Office,US Other,Generalist w/ fintech depth,Multi-$B,Multi-stage equity,Fintech infra; stablecoin bets,-,Fintech infra portfolio,MBA-friendly platform,S3,K,Distinct from Bain Capital Crypto
Fin Capital,"San Francisco, CA",Verify,US West,Fintech VC,n/a,Multi-stage,B2B fintech; digital assets sleeve,Logan Allin,-,-,Monitor,K
Clocktower Technology Ventures,"Santa Monica, CA",-,US West,Macro-fintech VC,n/a,Seed/A,Fintech; LatAm program,Ben Savage,LatAm fintech,LatAm angle,Monitor,K
Propel Venture Partners,"San Francisco, CA",-,US West,Fintech VC (BBVA-seeded),n/a,Seed/A,Fintech; crypto-adjacent,-,"Coinbase (early, verify)",-,Monitor,K

"Compiled Aug 22, 2026. Src K rows carry a Jan 2026 information horizon: fund sizes, rosters, NYC-office footprints, and even fund existence MUST be verified before outreach or citation. 'n/a' means not confidently known, not zero. NYC rows are summaries - full verified detail on the VC Fund Database tab. Funds marked 'On working tab' are worked on the VC Targets tab. Priorities: S1 pursue, S2 engage, S3 track, Monitor watch, Exclude avoid."
