Fund,HQ,Region,NYC,Type,Stage,Focus / Thesis,Key People,Notable Portfolio,Scale,Tier,Src,Status,Notes
Big Brain Holdings,Remote,Global,-,Crypto-native VC,Pre-seed/Seed,Solana ecosystem DeFi and infrastructure,,"Zeta Markets, Zeus Network (Solana)",,Track,K,,verify
Binance Labs (YZi Labs),"Dubai, UAE",Global,-,CVC,Multi-stage,"Exchange incubator, infrastructure, DeFi","Yi He, Ella Zhang","Polygon, STEPN, Sei",~$10B AUM,Track,K
BitAngels,Remote,US Remote,People,angel network,Angel,global crypto angel network since 2013,"Michael Terpin, David A. Johnston",,,Track,K
BitBull Capital,"San Francisco, USA",US West,-,FoF,Multi-stage,crypto hedge and venture fund FoF,Joe DiPasquale,,,Track,K
Bitcoin Frontier Fund,Remote,US Remote,-,Accelerator,Pre-seed/seed,"Bitcoin-native startups, Ordinals, Stacks",Trevor Owens,,,Track,K,,verify
Bitcoin Opportunity Fund,Remote,US Remote,-,Liquid + venture,Multi-stage,Public and private bitcoin companies,"James Lavish, David Foley",,,Track,K
BitDAO (now Mantle),Remote,Global,-,Venture DAO,Multi-stage,"mega-treasury DAO, ecosystem investments",,"Game7, EduDAO, Mantle",~$2.5B treasury (peak),Track,K
Bitfury Group,"Amsterdam, Netherlands",Europe,-,Mining group / venture studio,Incubation,Mining infrastructure spinouts and investments,Valery Vavilov,"Cipher Mining, LiquidStack, Crystal Intelligence",~$1B valuation (2018),Track,K
Bitget Web3 Fund,Singapore,Asia,-,Exchange venture fund,"Seed-Series A, token",Web3 ecosystem fund of Bitget exchange,Gracy Chen (Bitget CEO),,~$100M,Track,K
BitHub Africa,"Nairobi, Kenya",MEA,-,Accelerator,Pre-seed/seed,"early bitcoin/blockchain accelerator, small scale",John Karanja,,,Track,K,,verify
Bitkub Ventures,"Bangkok, Thailand",Asia,-,CVC,Seed/A,Thai web3 ecosystem (Bitkub group),Jirayut (Topp) Srupsrisopa,,,Track,K,,verify
Bitmain,"Beijing, China",Asia,-,Strategic CVC (mining hardware),Venture/Growth,ASIC maker; strategic crypto investments,"Jihan Wu, Micree Zhan","Circle, BitFuFu",,Track,K
BitMEX Ventures,Hong Kong,Asia,-,Exchange venture arm (100x Group),Seed-Series A,"Exchange arm, regional exchanges (dormant)",Arthur Hayes (BitMEX co-founder),PDAX (Philippines),,Track,K,,verify
Bixin Ventures,Singapore,Asia,-,Crypto-native VC,Seed/A,Bixin wallet/miner arm; open finance,,"Nervos, Arweave, Conflux",~$100M,Track,K
BKCM,"New York, USA",NYC,HQ,Crypto hedge fund,Liquid tokens,digital asset investment firm,Brian Kelly (founder),,,Track,K,,verify
BlackPool,"Paris, France",Europe,-,NFT fund DAO,NFT assets/early,NFT gaming asset management DAO,Julien Bouteloup,Sorare and Axie NFT assets,,Track,K,,verify
BlackRock (strategic),"New York, USA",NYC,HQ,Asset-manager strategic,Growth,"stablecoins, tokenization platforms",,"Circle, Securitize",~$11T AUM,Track,K
Blizzard Fund,"New York, USA",NYC,HQ,Ecosystem fund,Multi-stage,Avalanche ecosystem development,Emin Gun Sirer (Ava Labs),,~$200M+,Track,K,,verify
Block Asset Management,Luxembourg,Europe,-,FoF,Multi-stage,"first regulated crypto FoF, multi-strategy sleeves","Manuel De Luque Muntaner, Daniel Vegue Dominguez",,,Track,K
"Block, Inc. (strategic)","Oakland, USA",US West,-,Corporate strategic,Strategic,"Payments company, bitcoin/stablecoin strategic bets",Jack Dorsey,Yellow Card,,Track,K
Block8,"Sydney, Australia",Oceania,-,Venture studio,Pre-seed/seed,"Blockchain venture studio, co-builds",Samuel Brooks,,,Track,K,,verify
Blockchain at Berkeley,"Berkeley, USA",US West,-,Student org / grants fund,Grants/Pre-seed,"Student blockchain projects, consulting, grants","Founded by Jonathan Allen, Ronen Kirsh, Howard Wu","Alumni startups: Opyn, Dekrypt Capital",~EduDAO/BitDAO-funded grants pool,Track,K,,verify
Blockchain Builders Fund,"Palo Alto, USA",US West,-,VC (Stanford ecosystem),pre-seed/seed,"Stanford-linked crypto, AI, infra founders","Gil Rosen, Steven Willinger (ex-Coinbase Ventures), Kun Peng","0G, Nexus, Hyperbolic, Pod",~$28M Fund I (closed May 2025),Track,K
Blockchain Coinvestors,"San Francisco, USA",US West,-,FoF,Multi-stage,fund-of-funds across leading blockchain VCs,"Matthew Le Merle, Alison Davis",,,Track,K,,verify
Blockchain Creative Labs (Fox),"Los Angeles, USA",US West,-,Ecosystem fund,Seed/A,"media NFTs, tokenized IP (wound down)",Scott Greenberg,Eluvio,~$100M,Track,K,,verify
Blockchain Founders Group,"Vaduz, Liechtenstein",Europe,-,Accelerator,Pre-seed/seed,Blockchain venture studio and accelerator,Philipp Sandner (partner),,,Track,K,,verify
Blockchain Valley Ventures,"Zug, Switzerland",Europe,-,Crypto-native VC,Seed/A,"Blockchain ventures, advisory plus capital",Heinrich Zetlmayer,,,Track,K,,verify
Blockchain.com Ventures,"Miami, USA",US South,-,CVC,Seed/A,"crypto infrastructure, exchange-adjacent startups",Sam Harrison,,,Track,K,,verify
BlockchainSpace,"Manila, Philippines",Asia,-,Accelerator,Pre-seed/seed,Play-to-earn guild accelerator,Peter Ing,,,Track,K,,verify
BlockTower Capital,"Miami, USA",US South,Verify,Liquid + venture,Multi-stage,"liquid crypto, DeFi, early-stage venture","Ari Paul, Matthew Goetz",,~$150M venture fund,Track,K
BlockVC,"Beijing, China",Asia,-,Crypto-native VC,Seed/A,ICO-era infra fund (faded),Kevin Hsu,,,Track,K,,verify
Blockwall,"Frankfurt, Germany",Europe,-,Crypto-native VC,Seed/A,"Blockchain infrastructure, early German crypto fund",Dominic Briggs,,,Track,K,,verify
Blossom Capital,"London, UK",UK,-,Generalist w/ crypto,Seed/A,European Series A; crypto payments exposure,Ophelia Brown,MoonPay,~$432M Fund III,Track,K,,verify
Blyth Fund (Stanford),"Stanford, USA",US West,-,Student-run endowment fund,Liquid/ETF,Student fund; 7% Bitcoin via IBIT,"Kole Lee (Stanford Blockchain Club, pitched BTC)",BlackRock IBIT,"~six-figure AUM, 7% BTC (2024)",Track,K
BnkToTheFuture,Hong Kong,Asia,-,Investment platform,Early (equity crowdfunding),crypto equity crowdfunding and SPVs,Simon Dixon (co-founder),"Kraken, Bitfinex",,Track,K,,verify
BNP Paribas,"Paris, France",Europe,Office,CVC,Multi-stage,"capital markets DLT, settlement",,"Digital Asset, Fnality",,Track,K
BNY Mellon,"New York, USA",NYC,HQ,CVC,Multi-stage,"custody tech, institutional trading infra",,"Fireblocks, Talos, Fnality",,Track,K
Boerse Stuttgart Digital Ventures,"Stuttgart, Germany",Europe,-,CVC,Seed/A,"retail crypto trading, custody builds",,Sowa Labs (Bison),,Track,K,,verify
Bogazici Ventures,"Istanbul, Turkey",Europe,-,VC,Seed/Early,"Gaming, web3, Turkish tech; runs BV Crypto",Baris Ozistek (founding partner),,,Track,K,,verify
Boldstart Ventures,"New York, USA",NYC,HQ,Seed VC,Inception/Seed,Developer-first and security seed investing,"Ed Sim, Eliot Durbin","Blockdaemon (first check), Hypernative",,Track,K
Bonfire Union,Singapore,Asia,-,CVC,Pre-seed/seed,"decentralized social, creator tools",Suji Yan,,,Track,K,,verify
Borderless Capital,"Miami, USA",US South,-,Crypto-native VC,Seed/A,"DePIN, web3 payments, Algorand ecosystem",David Garcia,"Folks Finance, Opulous",~$500M AUM,Track,K
Bpifrance,"Paris, France",Europe,-,State investment bank,Multi-stage,Direct token + crypto equity strategy,Ivan de Lastours,"Ledger, Morpho, ACINQ, Aleph.im",~€25M token pocket + €150M indirect,Track,K
Breyer Capital,"Austin, USA",US Central,-,Family office,Multi-stage,Crypto among AI/fintech themes,Jim Breyer,Circle,,Track,K,,verify
Brinc,Hong Kong,Asia,-,Accelerator,Pre-seed/seed,"Web3 accelerator programs, Animoca-backed",Manav Gupta,,,Track,K
Brink,Remote,US Remote,-,Nonprofit grants,Grants,Nonprofit funding Bitcoin Core developers,John Newbery (founder); Mike Schmidt,,,Track,K,,verify
BRM Group,"Tel Aviv, Israel",MEA,-,Family office,Multi-stage,"Barkat family tech investments, crypto trading exposure",Eli Barkat,eToro,,Track,K,,verify
Broadhaven Ventures,"New York, USA",NYC,HQ,Fintech VC (merchant-bank arm),Seed/A,"capital markets fintech, global",Michael Sidgmore,,,Track,K,,verify
Brooker Group,"Bangkok, Thailand",Asia,-,listed investment company,treasury/venture,BTC treasury; DeFi token investments,"Varit Bulakul (exec director, digital assets)",,~$48M crypto allocation,Track,K
BTG Pactual (boostLAB),"São Paulo, Brazil",LatAm,Verify,Bank CVC / strategic,Early,bank CVC; crypto via Mynt platform,Frederico Pompeu,Bitfy; built Mynt crypto platform,,Track,K
Btrust,Remote,MEA,-,Nonprofit bitcoin trust,Grants,bitcoin developer funding across Africa,Abubakar Nur Khalil (CEO); endowed by Jack Dorsey and Jay-Z,Btrust Builders (dev program),~500 BTC endowment,Track,K
Bufficorn Ventures,"Denver, USA",US West,-,Ecosystem fund,Pre-seed/seed,"ETHDenver / SporkDAO ecosystem, early web3",John Paller,,,Track,K
Buidlers Tribe,"Bengaluru, India",Asia,-,Accelerator,Pre-seed/seed,"India web3 founder community, pitch days","Raghu Mohan, Pareen Lathia",,,Track,K,,verify
BV Crypto,"Istanbul, Turkey",Europe,-,Crypto asset manager,Liquid tokens,Token funds and crypto market research,"Baris Ozistek (chair, via Bogazici Ventures)",,,Track,K,,verify
Byld Ventures,"London, UK",UK,-,VC,Pre-seed–Seed,"African fintech, stablecoin cross-border payments",Youcef Oudjidane,"Waza, Anchor, Thepeer",~$15M,Track,K,,verify
C Capital (C Ventures),Hong Kong,Asia,-,Generalist w/ crypto,Multi-stage,"culture, Gen Z consumer, web3",Adrian Cheng,,,Track,K,,verify
Caisse des Dépôts et Consignations,"Paris, France",Europe,-,State investment institution,Early/strategic,Blockchain infrastructure consortium investments,Nadia Filali (blockchain program),LiquidShare (founding shareholder); Archipels,,Track,K,,verify
Cake DeFi Ventures,Singapore,Asia,-,CVC,Seed/A,CVC of Cake/Bake platform,"Julian Hosp, U-Zyn Chua",,~$100M,Track,K,,verify
Canary,"São Paulo, Brazil",LatAm,-,VC (generalist),Pre-seed/Seed,Brazilian generalist; early crypto exposure,Marcos Toledo (managing partner),"Hashdex (early backer, reported)",,Track,K,,verify
Canonical Crypto,"San Francisco, USA",US West,-,Crypto-native VC,Pre-seed/seed,"crypto x AI, decentralized infra",Anand Iyer,,~$50M fund II,Track,K
Cantor Fitzgerald (strategic),"New York, USA",NYC,HQ,Investment bank (strategic),Growth,"Bitcoin financing, treasury SPACs, stakes",Brandon Lutnick,Twenty One Capital; Tether stake,~$2B BTC financing program,Track,K
Capital Factory,"Austin, USA",US Central,-,Accelerator,Pre-seed/seed,"Texas generalist accelerator, some web3",Joshua Baer,,,Track,K,,verify
Capula Investment Management,"London, UK",UK,Verify,Macro hedge fund,Liquid,rates fund; bitcoin ETF positions,Yan Huo,"IBIT, FBTC positions",~$30B AUM,Track,K
Cardano Foundation,"Zug, Switzerland",Europe,-,Ecosystem fund,Pre-seed/seed,"Cardano adoption, grants, education",Frederik Gregaard,,,Track,K
Casper Association,"Zug, Switzerland",Europe,-,Foundation,Grants,Casper L1 ecosystem grants and funding,Ralf Kubli (board member),,,Track,K,,verify
CDIB Capital (China Development Financial),"Taipei, Taiwan",Asia,Verify,Financial holding CVC,Early-Growth,Regulated crypto exchange and fintech,,XREX (co-led ~$17M pre-A),,Track,K,,verify
Celesta Capital,"San Mateo, USA",US West,-,Deep tech VC,Series A/B,Deep tech; bitcoin mining silicon,"Nicholas Brathwaite, Sriram Viswanathan",Auradine (co-led Series A),,Track,K,,verify
Celestia Foundation,Remote,Global,-,Ecosystem foundation,Grants,Celestia modular DA ecosystem,Mustafa Al-Bassam (co-founder),,"~$155M raised (2023-24, Bain Capital Crypto-led)",Track,K
Celo Foundation,"San Francisco, USA",US West,-,Ecosystem fund,Pre-seed/seed,Celo mobile-first DeFi ecosystem,"Rene Reinsberg, Marek Olszewski",,,Track,K
Ceres Inc.,"Tokyo, Japan",Asia,-,corporate strategic investor,strategic,listed internet co; crypto exchange stakes,,bitbank (major shareholder),,Track,K
CertiK Ventures,"New York, USA",NYC,HQ,CVC (security firm),Seed/Series A,Venture arm of web3 security auditor,"Ronghui Gu, Zhong Shao (CertiK co-founders)",,,Track,K
cFund,"Los Angeles, USA",US West,-,Ecosystem fund,Seed/A,Cardano ecosystem venture fund,David Siemer (Wave Financial),COTI,~$20M,Track,K,,verify
Chaincode Labs,"New York, USA",NYC,HQ,R&D lab / patron,Sponsorship,Bitcoin protocol R&D and developer sponsorship,"Alex Morcos, Suhas Daftuar (co-founders)",,,Track,K,,verify
Charles Schwab,"Westlake, USA",US South,Office,CVC,Growth,retail crypto market structure,,EDX Markets,,Track,K
Cherry Ventures (Cherry Crypto),"Berlin, Germany",Europe,-,Generalist w/ crypto,Pre-seed/seed,Dedicated crypto fund alongside generalist vehicle,Filip Dames,,~$34M crypto fund,Track,K
Cherubic Ventures,"Taipei, Taiwan",Asia,-,VC (generalist),seed,generalist seed fund; selective crypto,Matt Cheng (founder),Dapper Labs (Flow),,Track,K,,verify
Chiliz Labs,Malta,Europe,-,Corporate incubator,Accelerator/early,sports and entertainment web3 incubator,Alexandre Dreyfus (Chiliz CEO),,~$50M,Track,K
Chorus Ventures (Chorus One),"Zug, Switzerland",Europe,-,CVC,Pre-seed/seed,"staking-adjacent infra, balance sheet",,,~$30M,Track,K,,verify
Christie's Ventures,"London, UK",UK,People,CVC,Seed/A,"art x web3, NFT infrastructure",Devang Thakkar,LayerZero,,Track,K
Cibersons Group,"Asunción, Paraguay",LatAm,-,Tech investment group,-,"tech holding; Atari token JV, mining plans",,Atari (Atari Token/Casino LatAm partnership),,Track,K,,verify
Cinneamhain Ventures (CEHV),"Kitchener, Canada",Canada,-,Crypto VC,Seed/Early,"DeFi, open-source infra, sustainable chains",Adam Cochran (managing partner),,,Track,K
Citadel Securities (strategic),"Miami, USA",US South,Office,strategic (market maker),strategic,crypto market structure and tokenization,,"EDX Markets, Digital Asset",,Track,K
CityBlock Capital,"New York, USA",NYC,HQ,Tokenized VC,Early/growth,"tokenized venture funds, capital markets fintech",Rob Nance (CEO),,,Track,K,,verify
CMCC Global,Hong Kong,Asia,-,Liquid + venture,Seed/A,token funds + equity venture funds,"Martin Baumann, Charlie Morris","Solana, Nervos",~$100M Titan Fund,Track,K
Codebase (Ava Labs),"New York, USA",NYC,HQ,Accelerator,Pre-seed/seed,Avalanche ecosystem incubator by Ava Labs,Emin Gun Sirer (Ava Labs),,,Track,K,,verify
Coefficient Ventures,"San Francisco, USA",US West,-,Crypto VC,Seed/early,early-stage crypto and blockchain startups,Chance Du (founding partner),,,Track,K,,verify
Cohen Private Ventures,"Stamford, USA",US East,Verify,Family office,Multi-stage,"Steve Cohen FO, crypto trading and NFT bets","Steve Cohen, Andrew B. Cohen",Radkl,,Track,K
Coin98 Ventures (Ninety Eight),"Ho Chi Minh City, Vietnam",Asia,-,Ecosystem fund,Pre-seed/seed,"Vietnam web3, Coin98 ecosystem",Nguyen The Vinh,,,Track,K
Coincheck Labs,"Tokyo, Japan",Asia,-,Exchange web3 investing arm (Monex-owned parent),Seed,"Japan web3 startups, exchange arm",Koichiro Wada (Coincheck co-founder),,,Track,K,,verify
CoinDCX Ventures,"Mumbai, India",Asia,-,CVC,Pre-seed/seed,"Indian web3 startups, exchange venture arm","Sumit Gupta, Neeraj Khandelwal",,,Track,K
CoinFlip Ventures,"Chicago, USA",US Central,-,CVC,Pre-seed/seed,Early crypto bets from bitcoin ATM operator,Daniel Polotsky,,,Track,K,,verify
CoinGecko Ventures,Singapore,Asia,-,CVC,Pre-seed/seed,"early web3 data, tools, ecosystem","Bobby Ong, TM Lee",,,Track,K,,verify
coinIX GmbH & Co. KGaA,"Hamburg, Germany",Europe,-,Listed investor,Seed/A,Listed blockchain equity and token investor,Moritz Schildt,,,Track,K,,verify
CoinList,"San Francisco, USA",US West,-,Accelerator,Pre-seed/seed,token launch platform; CoinList Seed batches,"Andy Bromberg, Graham Jenkin","Filecoin, Solana (token sales)",,Track,K,,verify
Coinsilium Group,"London, UK",UK,-,Liquid + venture,Pre-seed/seed,Listed blockchain venture builder/investor,"Eddy Travia, Malcolm Palle","RSK (IOV Labs), Indorse",,Track,K
CoinSwitch Ventures,"Bengaluru, India",Asia,-,CVC,Pre-seed/seed,Web3 Discovery Fund for India builders,Ashish Singhal,,~$10M,Track,K
Cointelegraph Accelerator,"New York, USA",NYC,Verify,media-for-equity accelerator,Accelerator/early,crypto media outlet's startup accelerator,,COCA (MPC wallet),,Track,K,,verify
Cointelligence Fund,"Netanya, Israel",MEA,-,Crypto fund,Pre-seed/Seed,"Early-stage crypto, research-driven diligence",On Yavin (founder),,,Track,K,,verify
Collab+Currency,Remote,US Remote,-,Crypto-native VC,Pre-seed/seed,"NFTs, onchain culture, consumer crypto","Derek Schloss, Stephen McKeon",,,Track,K
Collider Ventures,"Tel Aviv, Israel",MEA,-,Crypto-native VC,Pre-seed/seed,"Web3 infra, DeFi, staking, crypto security","Adam Benayoun, Avishay Ovadia","The Graph, Lido, Safe, ZenGo",~$200M AUM,Track,K
CollinStar Capital,"Melbourne, Australia",Oceania,-,Crypto-native VC,Seed/A,"blockchain projects, Australia-China corridor",,Hcash (HyperCash),,Track,K,,verify
Colony Lab,Remote,Global,-,Community ecosystem fund,Early + liquid,Avalanche community-driven ecosystem fund,Elie Le Rest (CEO),Avalanche-native startups,~$21M raised (2021),Track,K,,verify
Color Capital (CPG club),Remote,US Remote,-,Community fund,Pre-seed/seed,consumer web3 fund with CPG community club,"Chris Cantino, Jaime Schmidt",,,Track,K,,verify
Com2uS Holdings,"Seoul, South Korea",Asia,-,CVC,Growth,"XPLA chain, exchange stakes, web3 games",Song Byung-joon (chairman),"Coinone (stake), C2X/XPLA, Terraform Labs tie-up",,Track,K
Comcast Ventures,"San Francisco, USA",US West,Office,CVC,Multi-stage,"media, connectivity; blockchain infra",,Blockdaemon,,Track,K
CommerzVentures,"Frankfurt, Germany",Europe,-,Fintech VC,Seed/A,"fintech specialist, selective crypto",Heiko Schwender,"Curv, Elwood",~€300M,Track,K,,verify
Concordium Foundation,"Zug, Switzerland",Europe,-,Ecosystem foundation,Grants,Concordium ID-centric L1 ecosystem,Lars Seier Christensen (founder/chairman),,,Track,K,,verify
Connect Ventures (CAA x NEA),"Los Angeles, USA",US West,-,Entertainment VC (JV),Early-growth,entertainment tech and web3 investing,Michael Yanover (CAA); NEA partnership,,~$100M,Track,K,,verify
ConsenSys,"New York, USA",NYC,HQ,CVC,Seed/A,Ethereum ecosystem software and investments,"Joseph Lubin, Kavita Gupta (ex-Ventures)",,~$50M ConsenSys Ventures fund,Track,K
Continue Capital,"San Francisco, USA",US West,-,Angel-style crypto fund,Pre-seed/Seed,Early infra and DeFi token bets,"Pima (Hongjiang Li), Xiahong Lin",,,Track,K
Coop Records,"Los Angeles, USA",US West,-,Crypto-native VC,Pre-seed/seed,"onchain music, consumer crypto",Cooper Turley,,~$10M,Track,K
Core Innovation Capital,"Los Angeles, USA",US West,-,Fintech VC,Seed/A,inclusive fintech; early crypto rails,Arjan Schutte,"Ripple, NerdWallet, Oportun",,Track,K
COSIMO Ventures,"Dublin, Ireland",Europe,-,VC,early-growth,"deep tech and blockchain, tokenized VC funds","Ciarán Hynes, Rob Frasca",Sedicii,,Track,K
Courtside Ventures,"New York, USA",NYC,HQ,Sports/gaming VC,Pre-seed-Series A,"sports and gaming VC, NFT deals","Vasu Kulkarni, Deepen Parikh",Dibbs (sports NFT),~$100M Fund III,Track,K,,verify
Craft Ventures,"San Francisco, USA",US West,-,Generalist w/ crypto,Seed/A,"SaaS and marketplaces, incubated crypto deals","David Sacks, Jeff Fluhr",Harbor,~$3.3B AUM,Track,K
Creandum,"Stockholm, Sweden",Europe,Verify,Generalist w/ crypto,Seed/A,European seed; select crypto wallets/infra,"Staffan Helgesson, Fredrik Cassel",Argent,~€500m (Fund VI),Track,K
Cronos Labs,Singapore,Asia,-,Ecosystem fund,Pre-seed/seed,Cronos chain accelerator and ecosystem fund,Ken Timsit,,~$100M accelerator program,Track,K
Crucible Capital,"New York, USA",NYC,Verify,Crypto-native VC,Pre-seed/seed,"Energy-compute infra, bitcoin mining, AI",Meltem Demirors,,,Track,K,,verify
Cryptix AG,"Zurich, Switzerland",Europe,-,Venture builder,Incubation/Seed,Fintech and blockchain venture builder,Bernhard Koch (founder/CEO),Blocktrade,,Track,K,,verify
Crypto Oasis Ventures,"Dubai, UAE",MEA,-,Ecosystem fund,Pre-seed/seed,"UAE web3 ecosystem builder, venture studio",Ralf Glabischnig,,,Track,K,,verify
Crypto Plaza,"Madrid, Spain",Europe,-,Ecosystem fund,Pre-seed/seed,Madrid DeFi hub with micro-fund,Jesus Perez,,,Track,K,,verify
Crypto.com Capital,Singapore,Asia,-,CVC,Seed/A,"web3 startups, gaming, DeFi",Bobby Bao,,~$500M,Track,K
Cryptomind Group (Merkle Capital),"Bangkok, Thailand",Asia,-,digital asset manager,fund mgmt/advisory,SEC-licensed Thai crypto fund manager,Sanjay Popli (co-founder/CEO),,,Track,K
CryptoOracle,"New York, USA",NYC,HQ,community VC/advisory,Early,community-first crypto VC and content,"Lou Kerner, James Haft",,,Track,K,,verify
CryptoOracle Collective,"New York, USA",NYC,HQ,Angel collective/advisory,Pre-seed/Seed,Community-first crypto angel collective,"Lou Kerner, James Haft",,,Track,K,,verify
Cumberland Labs,"Chicago, USA",US Central,Verify,Accelerator,Pre-seed/seed,Web3 incubator/studio backed by DRW,,Hashnote (incubated; acquired by Circle),,Track,K
CV VC Africa,"Cape Town, South Africa",MEA,-,Crypto-native VC,Pre-seed/seed,African blockchain early-stage fund; Swiss CV VC arm,"Gideon Greaves, Mathias Ruch",,,Track,K
cyber.fund,Remote,Global,-,Crypto-native VC,Multi-stage,"Cybernetic economy: staking, AI, robotics","Konstantin Lomashuk, Vasiliy Shapovalov","Lido, P2P.org",~$100M,Track,K
Cyberport Macro Fund,Hong Kong,Asia,-,Ecosystem fund,Seed/A,HK digital tech co-investment incl. Web3,Peter Yan,,~HK$400M+,Track,K,,verify
Cyberstarts,"Tel Aviv, Israel",MEA,-,Generalist w/ crypto,Pre-seed/seed,"cybersecurity seed, incl. crypto security infra",Gili Raanan,"Fireblocks, Blockaid",,Track,K
Cypherpunk Holdings (now Sol Strategies),"Toronto, Canada",Canada,-,Public holding co,Multi-stage,Bitcoin privacy stakes (pivoted to Solana),Antanas Guoga,"Samourai Wallet, zkSNACKs (Wasabi)",,Track,K,,verify
D1 Capital Partners,"New York, USA",NYC,HQ,Crossover hedge fund,Growth,public/private crossover; crypto infra,Dan Sundheim,Fireblocks,~$20B AUM,Track,K
DAO Maker,Remote,Global,-,Launchpad / venture,Seed/IDO,Retail venture launchpad and incubation,Christoph Zaknun (CEO),,,Track,K,,verify
dao5,Remote,US Remote,-,Crypto-native VC,Seed/A,Founder-aligned early crypto fund,Tekin Salimi,,~$125M Fund I,Track,K
DAOSquare,Remote,Asia,-,Venture DAO / incubator,Pre-seed/Seed,Chinese-community Web3 venture DAO,Typto (founder),,,Track,K,,verify
DARMA Capital,"Chicago, USA",US Central,-,Asset manager,Liquid/staking,Ethereum-focused asset management and staking,"Andrew Keys, James Slazas (co-founders)",Liquid Collective (co-initiator),,Track,K
Dartmouth Blockchain,"Hanover, USA",US East,-,Student club fund,Liquid tokens,Student crypto fund via Dorm DAO,,"Axelar position (3.5x, Dorm DAO)",,Track,K,,verify
Dawn Capital,"London, UK",UK,-,Generalist w/ crypto,Seed/A,B2B software/fintech; crypto custody rounds,"Haakon Overli, Josh Bell",Copper,~$700M Fund V,Track,K,,verify
DB1 Ventures (Deutsche Börse),"Frankfurt, Germany",Europe,-,CVC,Multi-stage,"digital market infrastructure, custody",,"HQLAx, Digital Asset, Crypto Finance (acq.)",,Track,K
DBA,Remote,US Remote,-,Crypto-native VC,Pre-seed/seed,Research-heavy crypto pre-seed,Jon Charbonneau,,,Track,K,,verify
DBS Bank,Singapore,Asia,-,CVC,Growth,"interbank DLT, own digital exchange",,Partior (co-founded),,Track,K
Decasonic,"Chicago, USA",US Central,-,Liquid + venture,Pre-seed/seed,"Web3 x AI convergence, digital assets",Paul Hsu,,,Track,K,,verify
Decentralized Pictures,"San Francisco, USA",US West,-,Nonprofit film DAO,Grants,blockchain film financing foundation,"Roman Coppola, Leo Matchett",,,Track,K,,verify
Decima Fund,"Tokyo, Japan",Asia,-,VC (corporate JV),Early,Japan web3 global expansion JV,"Decima GP; backed by gumi, SBI, Animoca, MZ Cryptos",Joba Network,~JPY4.5B (~$30M) closed Mar 2024,Track,K
Declaration Partners,"New York, USA",NYC,HQ,Family office,Growth,"Rubenstein FO-anchored, fintech/crypto growth",Brian Frank,Paxos,,Track,K
DeFi Technologies,"Toronto, Canada",Canada,-,Liquid + venture,Liquid,"digital asset ETPs (Valour), venture holdings",Olivier Roussy Newton,Valour (subsidiary),,Track,K
DeFiance Capital,Singapore,Asia,-,Liquid + venture,Seed/A,"Web3 gaming, DeFi; liquid tokens",Arthur Cheong,,,Track,K
DekaBank (strategic),"Frankfurt, Germany",Europe,-,asset manager (strategic),strategic,German asset manager; blockchain settlement (SWIAT),,SWIAT (co-founded),,Track,K,,verify
Dekrypt Capital,"Berkeley, USA",US West,-,VC,Pre-seed/Seed,"Privacy, zero-knowledge, scalability protocols","Howard Wu, Jon Allen, Ronen Kirsh, Jack Baumruk","Matter Labs (zkSync), O(1) Labs (Mina)",,Track,K
Delendum,"San Francisco, USA",US West,-,Research lab + venture fund,Incubation/Pre-seed,"ZK and private computing incubation, fellowships","Team/advisors incl. Daniel Lubarov, Eli Ben-Sasson, Shashank Agrawal",,,Track,K
Delphi Ventures,Remote,US Remote,Verify,Crypto-native VC,Seed/A,"Research-driven; gaming, DeFi, infra","Anil Lulla, Tom Shaughnessy",Axie Infinity,,Track,K
Delta Blockchain Fund,"Palo Alto, USA",US West,-,Crypto-native VC,Pre-seed/seed,"blockchain infra, DeFi, gaming",Kavita Gupta,,,Track,K,,verify
DePINSurf (IoTeX),Singapore,Asia,-,Accelerator,Pre-seed/seed,"First DePIN accelerator, IoTeX ecosystem",Raullen Chai,,~$5M program,Track,K
Deus X Capital,"London, UK",UK,-,Family office,Multi-stage,"family-office platform, fund allocations plus ventures",Tim Grant,,~$1B AUM,Track,K
Deutsche Bank,"Frankfurt, Germany",Europe,Office,CVC,Growth,"custody tech, tokenization, interbank DLT",,"Taurus, Partior",,Track,K
Deutsche Telekom (strategic),"Bonn, Germany",Europe,-,Telco strategic,Growth,Staking infrastructure and token network investments,"Dirk Roeder (Web3 lead, T-Systems MMS)","Celo, Flow, Polygon (token purchases/validators)",,Track,K
Development Bank of Japan,"Tokyo, Japan",Asia,Office,State development bank,Growth,Strategic rounds incl. digital asset exchanges,,ADDX (co-led Series A),,Track,K,,verify
Development Bank of Wales,"Cardiff, UK",UK,-,state-backed VC,seed-growth,Welsh regional VC; backed crypto insurer,Giles Thorley (CEO),Coincover,~£1B+ AUM,Track,K,,verify
DFG (Digital Finance Group),Singapore,Asia,-,Crypto-native VC,Multi-stage,"Polkadot ecosystem, CeFi, infra",James Wo,"Circle, LedgerX, Astar",~$1B AUM,Track,K
DFINITY Foundation,"Zurich, Switzerland",Europe,-,Ecosystem fund,Pre-seed/seed,"Internet Computer R&D, developer grants",Dominic Williams,,,Track,K
DFJ Growth,"Menlo Park, USA",US West,-,Generalist w/ crypto,Growth,growth equity; led early Coinbase round,Randy Glein,Coinbase,,Track,K,,verify
